============================== SRIM-2008.04 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar( 3.59 um) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  188  2 .5074822E+07   3600081E-02 -.6562E+01 -.2815E+02   .9999950 -.0012330 -.0029029
T  189  2 .5058049E+07   3600043E-02 -.6174E+02  .3281E+02   .9999905 -.0034012  .0027218
T  190  2 .5070271E+07   3600216E-02 -.8692E+01 -.1776E+01   .9999983 -.0000713 -.0018303
T  191  2 .5062683E+07   3600094E-02 -.4798E+01  .1305E+02   .9999986  .0016308 -.0003265
T  192  2 .5054449E+07   3600024E-02  .1980E+03 -.8473E+02   .9999544  .0095159 -.0008309
T  193  2 .5085124E+07   3600216E-02 -.1823E+02  .4171E+02   .9999660  .0026385  .0078105
T  194  2 .5069661E+07   3600198E-02 -.7044E+02 -.3384E+02   .9999867 -.0050482 -.0010969
T  195  2 .5084867E+07   3600140E-02  .5654E+02  .8648E+02   .9999924  .0014940  .0036013
T  196  2 .5062549E+07   3600204E-02  .3020E+02 -.6867E+02   .9999847 -.0005656 -.0054953
T  197  2 .5079143E+07   3600171E-02  .5494E+02 -.5124E+02   .9999995 -.0000384  .0010236
T  198  2 .5074117E+07   3600135E-02 -.1337E+03 -.3288E+00   .9999427 -.0107058  .0002625
T  199  2 .5076678E+07   3600148E-02 -.2136E+02 -.7097E+02   .9999972 -.0003427 -.0023253
T  200  2 .5065032E+07   3600195E-02  .6770E+02  .1631E+02   .9999838  .0047684  .0031019
T  201  2 .5094745E+07   3600114E-02 -.1215E+03  .1156E+03   .9999687 -.0075865  .0022391
T  202  2 .5069585E+07   3600123E-02  .5583E+02 -.7804E+02   .9999871  .0048472 -.0015472
T  203  2 .5065848E+07   3600014E-02 -.2388E+02  .2397E+02   .9999974 -.0013496  .0018641
T  204  2 .5080126E+07   3600209E-02 -.2623E+02 -.5699E+02   .9999996  .0009110  .0002470
T  205  2 .5101949E+07   3600166E-02  .1559E+02  .9539E+02   .9999855  .0020634  .0049811
T  206  2 .5066485E+07   3600181E-02 -.1601E+03 -.1341E+01   .9999502 -.0088660  .0045831
T  207  2 .5074767E+07   3600162E-02 -.7279E+02  .4595E+02   .9999883 -.0044624  .0018840
T  208  2 .5074761E+07   3600163E-02  .3355E+02  .3354E+02   .9999979  .0020020  .0003825
T  209  2 .5097834E+07   3600108E-02 -.7404E+01 -.1374E+02   .9999960 -.0008722  .0026885
T  210  2 .5063452E+07   3600164E-02 -.1319E+03 -.1399E+02   .9999855 -.0042317  .0033283
T  211  2 .5085729E+07   3600043E-02 -.7258E+02 -.1524E+02   .9999939 -.0034681 -.0003324
T  212  2 .5079162E+07   3600064E-02  .1619E+02 -.1248E+02   .9999985  .0014849  .0008629
T  213  2 .5084715E+07   3600087E-02  .5371E+02  .1959E+02   .9999938  .0031385  .0015898
T  214  2 .5059634E+07   3600212E-02 -.1417E+02 -.9835E+01   .9999937 -.0022243 -.0027625
T  215  2 .5089768E+07   3600178E-02 -.8318E+02  .7937E+02   .9999713 -.0046362  .0059872
